policy,capacity_share,evidence_tier,cases,losses,selected_cases,captured_losses,selection_rate,within_tier_recall,queue_precision
exposure_proxy,0.2,observed_complete,267521,72674,55055,14533,0.20579692809162645,0.1999752318573355,0.2639723912451185
exposure_proxy,0.2,regional_fallback,99070,24066,18263,4462,0.18434440294741092,0.185406797972243,0.24431911515085145
logistic_regression,0.2,observed_complete,267521,72674,72876,24239,0.27241225922450946,0.33353056113603213,0.33260607058565234
logistic_regression,0.2,regional_fallback,99070,24066,442,178,0.00446149187443222,0.007396326768054517,0.40271493212669685
random,0.2,observed_complete,267521,72674,53594,14500,0.20033567458255613,0.19952114924181963,0.2705526738067694
random,0.2,regional_fallback,99070,24066,19724,4793,0.19909155142828303,0.19916064156901853,0.24300344757655648
random_forest,0.2,observed_complete,267521,72674,68473,25077,0.2559537382112059,0.3450615075542835,0.36623194543834797
random_forest,0.2,regional_fallback,99070,24066,4845,1981,0.0489048147774301,0.08231529959278651,0.408875128998968
random_forest_base_features,0.2,observed_complete,267521,72674,68866,25088,0.25742278176292704,0.34521286842612214,0.36430168733482415
random_forest_base_features,0.2,regional_fallback,99070,24066,4452,1832,0.044937922680932677,0.07612399235435885,0.4115004492362983
weather_vegetation_rule,0.2,observed_complete,267521,72674,66004,24116,0.24672455620306444,0.3318380713872912,0.36537179564874855
weather_vegetation_rule,0.2,regional_fallback,99070,24066,7314,2760,0.07382658726153225,0.11468461730241834,0.37735849056603776
